;Unnamed: 0;COMPANY;DATE;OPEN;CLOSE
0;0;AFKS;2008-01-10;41.55;42.34
1;1;AFKS;2008-01-11;42.35;46.2
2;1;AFKS;2008-01-12;42.35;46.2
3;1;AFKS;2008-01-13;42.35;46.2
4;2;AFKS;2008-01-14;46.2;44.75
5;3;AFKS;2008-01-15;45.11;44.6
6;4;AFKS;2008-01-16;44.5;43.0
7;5;AFKS;2008-01-17;42.51;42.499
8;6;AFKS;2008-01-18;42.309;42.0
9;6;AFKS;2008-01-19;42.309;42.0
10;6;AFKS;2008-01-20;42.309;42.0
11;7;AFKS;2008-01-21;41.85;40.0
12;8;AFKS;2008-01-22;38.51;39.7
13;9;AFKS;2008-01-23;40.949;38.0
14;10;AFKS;2008-01-24;39.66;40.2
15;11;AFKS;2008-01-25;41.49;41.4
16;11;AFKS;2008-01-26;41.49;41.4
17;11;AFKS;2008-01-27;41.49;41.4
18;12;AFKS;2008-01-28;40.49;40.3
19;13;AFKS;2008-01-29;41.2;40.2
20;14;AFKS;2008-01-30;39.8;39.99800000000001
21;15;AFKS;2008-01-31;40.0;38.699
22;16;AFKS;2008-02-01;39.487;39.699
23;16;AFKS;2008-02-02;39.487;39.699
24;16;AFKS;2008-02-03;39.487;39.699
25;17;AFKS;2008-02-04;40.5;40.593
26;18;AFKS;2008-02-05;40.598;39.687
27;19;AFKS;2008-02-06;38.9;39.6
28;20;AFKS;2008-02-07;39.94;39.46
29;21;AFKS;2008-02-08;39.001;38.2
30;21;AFKS;2008-02-09;39.001;38.2
31;21;AFKS;2008-02-10;39.001;38.2
32;22;AFKS;2008-02-11;38.03;38.01
33;23;AFKS;2008-02-12;38.46;40.277
34;24;AFKS;2008-02-13;40.97;40.601
35;25;AFKS;2008-02-14;41.0;40.0
36;26;AFKS;2008-02-15;39.01;39.75
37;26;AFKS;2008-02-16;39.01;39.75
38;26;AFKS;2008-02-17;39.01;39.75
39;27;AFKS;2008-02-18;40.65;40.0
40;28;AFKS;2008-02-19;40.0;39.95
41;29;AFKS;2008-02-20;40.0;39.9
42;30;AFKS;2008-02-21;40.5;39.6
43;31;AFKS;2008-02-22;39.11;39.595
44;31;AFKS;2008-02-23;39.11;39.595
45;31;AFKS;2008-02-24;39.11;39.595
46;31;AFKS;2008-02-25;39.11;39.595
47;32;AFKS;2008-02-26;39.595;39.5
48;33;AFKS;2008-02-27;39.52;39.0
49;34;AFKS;2008-02-28;38.502;38.7
50;35;AFKS;2008-02-29;39.299;38.2
51;35;AFKS;2008-03-01;39.299;38.2
52;35;AFKS;2008-03-02;39.299;38.2
53;36;AFKS;2008-03-03;38.0;38.0
54;37;AFKS;2008-03-04;38.0;38.075
